,,,,To Date,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
,,B,,48,3,8,3,0,1,1,3,0,1,1,3,1,0,2,2,2,0,1,2,2,1,1,3,1,6,0,0,0,0
,,AB,,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,All ABO,,153,8,20,4,0,1,2,4,0,1,2,3,4,4,6,6,3,2,6,6,7,8,11,9,16,21,0,0,0,0
,,O,,72,3,7,2,0,1,0,2,0,1,0,1,1,1,3,5,2,1,2,4,2,6,4,2,8,15,0,0,0,0
,,
,,A,,56,3,8,0,0,0,2,0,0,0,1,1,3,3,2,1,0,1,4,2,3,1,5,6,7,3,0,0,0,0
,,B,,22,2,5,2,0,0,0,2,0,0,1,1,0,0,1,0,1,0,0,0,2,0,1,1,0,3,0,0,0,0
,,AB,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All ABO,,181,2,11,10,5,6,8,6,2,4,0,8,3,4,6,7,9,7,11,8,5,4,6,7,13,29,0,0,0,0
,,O,,91,1,3,8,2,3,3,3,1,1,0,4,1,3,2,2,6,3,6,6,2,2,4,2,10,13,0,0,0,0
,,A,,61,0,5,1,3,2,4,2,1,1,0,2,1,1,3,3,2,4,4,0,3,1,2,3,0,13,0,0,0,0
,,B,,26,1,3,1,0,1,1,1,0,1,0,2,1,0,1,2,1,0,1,2,0,1,0,2,1,3,0,0,0,0
,,AB,,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Also Waiting for KP; recvd KP,All Types,All ABO,,"10,293",145,318,358,360,409,401,366,387,343,331,384,440,426,440,472,458,494,549,515,511,511,508,519,551,126,0,0,0,0
,,O,,"4,804",71,140,176,167,205,205,174,183,177,158,173,198,211,209,220,204,242,241,223,223,250,220,235,253,56,0,0,0,0
,,A,,"3,760",49,120,111,120,139,137,143,120,115,125,144,173,145,158,166,174,169,213,204,197,185,212,203,204,49,0,0,0,0
,,B,,"1,289",21,49,59,57,45,50,37,66,34,37,49,51,48,56,67,57,65,69,64,63,50,51,58,73,15,0,0,0,0
,,AB,,440,4,9,12,16,20,9,12,18,17,11,18,18,22,17,19,23,18,26,24,28,26,25,23,21,6,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,All ABO,,"9,754",136,287,326,326,373,368,334,365,327,318,368,414,408,424,441,431,465,528,490,487,501,495,507,538,123,0,0,0,0
,,O,,"4,547",66,128,160,153,184,191,158,172,165,151,166,188,202,203,202,189,225,232,215,209,246,218,230,248,55,0,0,0,0
,,A,,"3,568",45,108,104,109,129,121,134,115,112,121,136,161,139,152,159,165,160,207,190,190,180,202,199,197,47,0,0,0,0
,,B,,"1,218",21,44,52,49,41,48,31,62,34,35,48,48,47,53,62,55,63,63,63,60,49,50,55,72,15,0,0,0,0
,,AB,,421,4,7,10,15,19,8,11,16,16,11,18,17,20,16,18,22,17,26,22,28,26,25,23,21,6,0,0,0,0
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,All ABO,,9,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,2,1,0,0,0,0,0
,,O,,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
,,A,,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All ABO,,533,9,31,32,33,35,33,32,22,16,13,15,26,18,16,30,26,29,21,25,24,9,13,10,12,3,0,0,0,0
,,O,,253,5,12,16,13,21,14,16,11,12,7,7,10,9,6,17,14,17,9,8,14,4,2,4,4,1,0,0,0,0
,,A,,189,4,12,7,11,9,16,9,5,3,4,7,12,6,6,7,9,9,6,14,7,4,10,3,7,2,0,0,0,0
,,B,,71,0,5,7,8,4,2,6,4,0,2,1,3,1,3,5,2,2,6,1,3,1,1,3,1,0,0,0,0,0
,,
,,AB,,20,0,2,2,1,1,1,1,2,1,0,0,1,2,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0
Medically Unsuitable,All Types,All ABO,,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,12,8,10,6,2,3,1,0,0,239
,,O,,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,4,4,3,1,2,0,0,0,121
,,A,,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,4,2,2,1,0,0,0,0,74
,,B,,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,3,1,0,1,1,0,0,41
,,AB,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3
,Kidney/Pancreas/Kidney-Pancreas: Active,All ABO,,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,6,4,3,5,1,1,1,0,0,95
,,O,,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,1,2,0,1,0,0,0,46
,,A,,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,1,0,0,0,0,32
,,B,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,16
,,AB,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All ABO,,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,4,7,1,1,2,0,0,0,144
,,O,,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,1,1,1,0,0,0,75
,,A,,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,2,0,0,0,0,0,0,42
,,B,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,25
,,AB,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Also Waiting for KP; recvd Pancreas Alon,All Types,All ABO,,101,0,0,2,2,2,3,0,1,2,1,2,1,4,4,4,4,2,4,4,9,6,13,20,9,3,0,0,0,0
,,O,,39,0,0,0,0,1,1,0,1,0,0,2,1,1,1,2,1,0,1,3,6,2,7,5,4,0,0,0,0,0
,,A,,56,0,0,2,2,1,2,0,0,1,1,0,0,3,1,2,3,2,2,1,3,4,6,13,4,3,0,0,0,0
,,B,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0
,,AB,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,All ABO,,95,0,0,2,2,2,3,0,1,2,1,2,1,4,4,3,4,1,3,3,7,6,13,20,9,3,0,0,0,0
,,O,,36,0,0,0,0,1,1,0,1,0,0,2,1,1,1,2,1,0,1,2,4,2,7,5,4,0,0,0,0,0
,,A,,53,0,0,2,2,1,2,0,0,1,1,0,0,3,1,1,3,1,1,1,3,4,6,13,4,3,0,0,0,0
,,B,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0
,,
,,AB,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All ABO,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0
,,O,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
,,A,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,All Types,All ABO,,"8,927",146,293,285,302,399,451,531,497,564,497,464,462,466,392,352,292,296,341,252,213,235,201,156,162,144,102,152,162,183
,,O,,"4,437",65,149,153,158,211,216,273,256,257,251,227,224,216,184,194,142,163,175,127,101,131,93,69,89,74,47,71,74,84
,,A,,"2,692",54,95,88,88,107,140,150,150,178,147,138,139,146,124,98,82,80,87,80,73,62,74,51,41,41,38,45,53,59
,,B,,"1,486",23,42,37,52,64,80,93,78,105,84,79,78,87,70,51,56,44,65,38,26,35,28,29,28,23,12,31,26,34
,,AB,,312,4,7,7,4,17,15,15,13,24,15,20,21,17,14,9,12,9,14,7,13,7,6,7,4,6,5,5,9,6
,Not Applicable,All ABO,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
,,O,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,A,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
,,B,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,All ABO,,"2,673",24,37,51,68,86,113,128,125,131,111,86,104,86,95,69,85,92,130,112,83,135,103,90,91,92,72,92,92,98
,,O,,"1,357",11,19,29,42,40,52,81,66,59,66,46,53,38,50,37,45,48,68,55,34,79,45,35,54,48,31,44,45,44
,,A,,773,11,11,18,14,31,33,24,35,31,29,22,30,26,23,21,22,28,35,33,30,32,39,33,23,25,29,27,28,31
,,B,,452,2,6,4,10,10,24,20,20,36,15,16,15,18,17,10,17,13,21,20,14,20,15,17,13,15,8,20,16,20
,,AB,,91,0,1,0,2,5,4,3,4,5,1,2,6,4,5,1,1,3,6,4,5,4,4,5,1,4,4,1,3,3
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,All ABO,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
,,O,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
,,A,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Active-Critical status,All ABO,,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,O,,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All ABO,,"6,277",122,257,234,234,313,338,405,372,434,385,378,359,380,298,284,207,203,211,140,130,99,98,66,71,51,27,61,70,85
,,O,,"3,094",54,130,124,116,171,164,194,190,199,184,181,171,178,134,158,97,115,107,72,67,51,48,34,35,25,16,27,29,40
,,
,,A,,"1,923",43,85,70,74,76,107,126,115,147,118,116,109,120,102,77,60,51,52,47,43,30,35,18,18,16,7,19,25,28
,,B,,"1,039",21,36,33,42,54,56,73,58,69,69,63,64,69,53,41,39,31,44,18,12,15,13,12,15,8,3,11,10,14
,,AB,,221,4,6,7,2,12,11,12,9,19,14,18,15,13,9,8,11,6,8,3,8,3,2,2,3,2,1,4,6,3
Transferred to another center,All Types,All ABO,,"29,395",346,678,540,775,"1,108",993,981,974,"1,570","1,775","1,825","1,864","1,481","1,342","1,375","1,493","1,583","1,553","1,395","1,004",994,993,990,"1,023",735,631,554,484,511
,,O,,"15,397",168,358,274,386,565,527,526,491,799,962,935,963,779,699,741,799,871,822,720,555,507,536,521,547,370,326,299,264,282
,,A,,"8,550",108,195,155,227,339,261,301,289,443,489,542,542,455,395,403,417,424,446,410,279,284,284,294,300,236,190,149,124,125
,,B,,"4,645",63,104,90,137,179,170,134,162,284,270,289,303,204,220,203,235,246,244,237,144,171,153,151,158,113,99,98,87,86
,,AB,,803,7,21,21,25,25,35,20,32,44,54,59,56,43,28,28,42,42,41,28,26,32,20,24,18,16,16,8,9,18
,Not Applicable,All ABO,,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,32,1,1,0
,,O,,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,1,1,0
,,A,,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0
,,B,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,All ABO,,"17,648",116,259,213,392,630,484,505,493,931,783,962,919,780,681,729,775,884,"1,042",914,703,796,770,799,741,595,496,445,379,411
,,O,,"9,425",63,147,113,208,326,261,262,260,482,433,505,502,413,365,410,404,515,558,477,391,406,430,420,390,297,257,241,215,222
,,A,,"4,942",34,69,53,104,188,126,161,145,244,202,274,243,235,189,200,218,224,294,271,187,227,200,229,214,192,146,117,93,99
,,B,,"2,864",19,36,42,71,104,76,72,76,189,125,160,156,110,114,104,134,125,168,148,106,138,126,130,124,92,80,82,64,76
,,AB,,417,0,7,5,9,12,21,10,12,16,23,23,18,22,13,15,19,20,22,18,19,25,14,20,13,14,13,5,7,14
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,All ABO,,25,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,3,0,1,1,0,0,4,0,2,1,0,1,0,4
,,O,,19,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,1,1,0,0,4,0,2,0,0,1,0,3
,,A,,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,Kidney/Panc/Kidney-Panc: Active-Critical status,All ABO,,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
,,O,,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
,,B,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All ABO,,"12,654",230,420,330,388,483,514,478,483,649,997,872,947,708,669,653,728,709,525,493,306,202,225,196,287,123,106,111,104,101
,,O,,"6,480",105,212,161,182,242,268,265,232,324,531,435,461,372,342,334,402,365,274,249,167,103,105,104,157,65,53,60,48,62
,,
,,A,,"3,845",74,126,104,124,153,138,141,144,201,289,270,300,220,205,206,201,200,155,141,94,60,86,67,89,37,35,32,31,25
,,B,,"1,927",44,68,49,66,75,94,62,87,96,146,131,148,95,107,100,102,122,77,93,38,32,28,21,36,19,15,16,23,10
,,AB,,402,7,14,16,16,13,14,10,20,28,31,36,38,21,15,13,23,22,19,10,7,7,6,4,5,2,3,3,2,4
Died,All Types,All ABO,,"112,938","1,655","4,318","4,979","4,882","3,871","4,102","4,298","4,691","4,796","4,753","4,607","4,619","4,783","4,678","4,688","4,653","4,543","4,517","4,175","4,084","3,881","3,795","3,433","3,186","3,310","2,432","2,071","1,846","1,531"
,,O,,"58,975",868,"2,313","2,648","2,645","2,103","2,207","2,231","2,444","2,484","2,412","2,383","2,414","2,453","2,427","2,458","2,461","2,333","2,305","2,207","2,101","1,965","2,004","1,767","1,671","1,689","1,298","1,079",934,798
,,A,,"32,704",490,"1,200","1,415","1,390","1,042","1,144","1,259","1,374","1,415","1,427","1,380","1,367","1,418","1,345","1,364","1,333","1,347","1,356","1,150","1,169","1,167","1,067",997,936,944,665,593,580,430
,,B,,"18,117",258,720,810,722,630,649,710,734,762,768,713,714,769,737,717,715,753,710,710,673,638,621,576,498,569,401,341,286,258
,,AB,,"3,144",39,85,106,125,96,102,98,139,135,146,131,124,143,169,149,144,110,146,108,141,111,103,93,82,108,68,58,46,45
,Not Applicable,All ABO,,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,1
,,O,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
,,A,,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1
,,B,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,All ABO,,"54,650",499,"1,395","1,884","1,908","1,546","1,590","1,587","1,734","1,767","1,862","1,783","1,718","1,848","1,928","1,955","2,079","2,189","2,350","2,302","2,403","2,659","2,774","2,548","2,386","2,443","1,763","1,514","1,311","1,044"
,,O,,"29,166",299,781,"1,076","1,049",874,902,836,929,954,988,962,909,"1,010","1,019","1,064","1,102","1,134","1,208","1,228","1,258","1,350","1,477","1,334","1,265","1,239",950,800,680,552
,,A,,"15,064",118,363,463,530,368,402,439,472,486,506,496,505,498,523,536,572,622,703,622,682,784,762,729,680,669,470,416,397,279
,,B,,"9,025",75,225,319,289,270,251,282,291,283,322,280,262,291,324,299,339,384,370,399,392,453,460,420,381,453,292,252,205,185
,,AB,,"1,397",7,26,26,40,34,35,30,42,44,46,45,42,49,62,56,66,49,69,53,71,72,75,65,61,82,51,46,29,28
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,All ABO,,135,0,0,0,0,1,1,2,1,1,1,0,3,8,10,7,5,10,15,12,6,7,10,8,3,9,5,3,3,4
,,O,,65,0,0,0,0,1,1,2,1,0,1,0,0,4,4,5,4,6,7,5,1,1,5,4,2,3,2,1,2,3
,,A,,36,0,0,0,0,0,0,0,0,1,0,0,2,3,2,1,0,0,4,4,3,4,3,1,0,3,1,2,1,1
,,B,,29,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,4,3,3,2,2,2,2,1,2,2,0,0,0
,,AB,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
,Kidney/Panc/Kidney-Panc: Active-Critical status,All ABO,,49,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,6,4,4,4,1,1,2,6,11,1,1,1,0,2
,,O,,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,1,2,0,1,1,1,8,0,0,1,0,1
,,A,,18,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,2,1,0,0,1,3,3,1,1,0,0,1
,,
,,B,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0
,,AB,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All ABO,,"59,808","1,179","2,998","3,209","3,067","2,407","2,572","2,789","3,047","3,095","2,971","2,893","2,979","3,009","2,812","2,783","2,639","2,405","2,206","1,910","1,722","1,251","1,039",912,813,876,675,565,550,489
,,O,,"30,680",580,"1,573","1,649","1,651","1,263","1,343","1,441","1,567","1,567","1,463","1,461","1,553","1,493","1,446","1,422","1,397","1,228","1,118",993,871,630,536,449,412,461,350,281,262,245
,,A,,"17,964",377,855,970,884,696,754,834,923,942,940,897,878,932,837,838,769,738,665,542,495,390,306,275,258,274,194,180,187,150
,,B,,"9,392",190,509,509,446,382,408,445,459,494,467,447,464,490,422,430,393,376,346,321,284,192,169,161,121,115,113,91,83,76
,,AB,,"1,772",32,61,81,86,66,67,69,98,92,101,88,84,94,107,93,80,63,77,54,72,39,28,27,22,26,18,13,18,18
Other,All Types,All ABO,,"70,926","2,106","3,900","3,456","3,515","3,845","4,189","4,236","4,190","3,965","3,232","2,778","2,594","2,857","2,855","2,450","2,708","2,249","1,914","2,192","1,340","1,372","1,329","1,195","1,450","1,597","1,634","1,521","1,500","1,650"
,,O,,"36,603","1,161","2,065","1,829","1,843","1,964","2,190","2,196","2,195","2,083","1,699","1,395","1,371","1,437","1,500","1,280","1,365","1,149",976,"1,113",684,683,691,603,729,802,791,750,732,807
,,A,,"21,035",560,"1,090",956,999,"1,126","1,244","1,222","1,228","1,145",950,831,743,873,827,733,787,662,582,676,399,420,375,351,447,527,535,528,504,521
,,B,,"11,251",322,641,572,582,653,639,698,653,624,467,466,406,478,453,370,477,370,299,343,218,227,225,211,226,210,248,204,223,265
,,AB,,"2,043",63,104,99,91,102,116,120,114,113,116,86,74,69,75,67,79,69,57,60,41,42,38,30,48,58,60,38,41,57
,,Unknown,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Not Applicable,All ABO,,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,1,0,0
,,O,,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,1,0,0
,,A,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,All ABO,,"23,824",416,775,839,887,935,883,885,780,717,542,629,517,649,678,598,746,796,914,"1,427",705,856,808,860,949,"1,206","1,163","1,100","1,117","1,123"
,,O,,"12,207",231,408,455,490,493,476,464,425,399,294,308,274,335,359,316,369,411,444,739,366,422,415,425,485,605,552,529,533,543
,,A,,"7,176",109,206,222,251,248,236,258,210,174,157,200,159,193,193,170,209,234,284,418,209,266,238,263,285,401,406,400,397,369
,,B,,"3,718",71,138,144,127,157,150,147,124,117,73,101,69,103,104,95,141,126,152,228,112,140,130,147,148,153,160,140,157,172
,,AB,,727,5,23,18,19,37,21,16,21,27,18,20,15,18,22,17,27,26,34,42,20,28,25,25,31,47,45,31,30,39
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,All ABO,,32,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,2,1,2,4,0,4,0,0,4,2,1,3,2,2
,,O,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,3,1,0,2,0,0
,,A,,13,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,2,0,0,1,1,0,1,1,2
,,B,,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0
,,
,,AB,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Active-Critical status,All ABO,,9,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,1
,,O,,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
,,A,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
,,B,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All ABO,,"48,178","1,698","3,128","2,627","2,637","2,921","3,314","3,365","3,416","3,256","2,692","2,149","2,081","2,214","2,184","1,854","1,971","1,454","1,001",773,639,514,524,336,502,388,456,421,385,529
,,O,,"24,935",935,"1,657","1,381","1,357","1,480","1,720","1,739","1,774","1,689","1,404","1,088","1,098","1,107","1,143",966,"1,002",737,535,380,321,261,278,178,244,194,228,220,200,265
,,A,,"14,170",453,884,735,751,879,"1,009",970,"1,020",973,796,630,586,680,636,563,577,429,296,261,192,153,137,88,161,126,126,129,109,151
,,B,,"7,732",252,505,430,457,497,491,552,529,508,394,365,338,376,351,275,340,245,147,114,105,87,96,65,79,57,87,64,65,95
,,AB,,"1,342",58,82,81,72,65,94,104,93,86,98,66,59,51,54,50,52,43,23,18,21,13,13,5,18,11,15,7,11,18
,,Unknown,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Condition Improved,All Types,All ABO,,"3,975",173,275,219,184,204,202,219,205,220,198,190,162,162,117,155,161,144,109,93,96,73,51,73,69,64,46,52,55,39
,,O,,"1,897",83,130,113,82,102,92,103,88,109,88,90,92,75,56,77,76,77,47,39,42,39,21,44,32,27,26,21,21,18
,,A,,"1,449",70,99,80,65,72,76,80,87,77,75,73,50,66,41,48,64,43,39,33,44,25,22,21,27,19,13,20,21,14
,,B,,487,16,32,19,29,24,24,29,24,24,31,20,17,15,18,27,17,20,15,14,9,4,7,5,8,12,5,8,12,6
,,AB,,142,4,14,7,8,6,10,7,6,10,4,7,3,6,2,3,4,4,8,7,1,5,1,3,2,6,2,3,1,1
,Not Applicable,All ABO,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,AB,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,All ABO,,"1,421",44,54,63,45,42,51,72,60,64,63,58,44,51,38,52,58,68,53,48,65,45,30,59,45,43,33,31,30,16
,,O,,705,24,30,32,24,22,25,37,27,31,35,31,24,26,20,24,28,35,23,22,28,22,12,34,19,19,18,12,13,10
,,A,,478,16,12,21,14,13,14,21,27,21,19,20,18,16,12,16,24,23,19,14,31,15,13,17,18,13,10,12,5,6
,,B,,178,4,7,9,5,5,10,12,4,9,7,6,2,6,6,10,5,9,7,6,5,3,4,5,6,7,3,5,11,0
,,AB,,60,0,5,1,2,2,2,2,2,3,2,1,0,3,0,2,1,1,4,6,1,5,1,3,2,4,2,2,1,0
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,All ABO,,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,2,0,0,0,0,0,1,1,0,0
,,O,,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0
,,
,,A,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
,,B,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Active-Critical status,All ABO,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1
,,O,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,,A,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
,,AB,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,All ABO,,"2,549",129,221,156,139,163,151,147,145,156,134,132,118,111,79,102,102,75,54,43,29,27,21,14,24,21,12,19,24,22
